Amoniak,BOD,COD,Cd,City_Regency,Class,Cr6,Cu,DO,F,Fecal Coliform,Fenol,H2S,Hg,Klorida,Latitude,Location,Longitude,MBAS,Minyak dan Lemak,Ni,Nitrat,Nitrit,Pb,Province,Sianida,Source,Sulfat,TDS,TSS,Temperature,Total Coliform,Total N,Total P,Warna,Year,Zn,pH
5.0545,2.8,4.0,0.004,Kabupaten Pidie,3.0,0.004,0.009,5.3,0.13,115000.0,0.0009,0.0085,0.0001,37.81,5.11972,Krueng Baroe,95.8933,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,588.0,18.0,28.3,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,8.38
5.0545,1.74,6.4,0.004,Kabupaten Aceh Barat,3.0,0.004,0.009,6.56,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.291968,KREUNG WOYLA,95.979379,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,53.73,570.0,27.1,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,7.34
5.0545,2.15,20.0,0.004,Kabupaten Aceh Barat,3.0,0.004,0.009,6.41,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.388788,KREUNG WOYLA,96.045524,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,52.99,494.5,27.2,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,7.56
5.0545,1.85,6.4,0.004,Kabupaten Aceh Barat,3.0,0.004,0.009,6.72,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.521575,KREUNG WOYLA,96.122975,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,61.55,195.7,27.2,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,7.35
5.0545,1.1,18.7,0.004,Kota Langsa,3.0,0.004,0.009,6.8,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.45914,Krueng Langsa,97.9917,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,401.0,25.2,29.8,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,7.62
5.0545,1.6,10.5,0.004,Kota Langsa,3.0,0.004,0.009,6.4,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.46594,Krueng Langsa,97.9428,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,330.0,31.1,28.7,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,7.81
5.0545,1.1,12.1,0.004,Kota Langsa,3.0,0.004,0.009,7.7,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.43888,Krueng Langsa,97.8842,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,441.0,28.0,29.3,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,7.33
5.0545,2.58,17.17,0.004,Kabupaten Aceh Tamiang,3.0,0.004,0.009,4.7,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.185694,KRUENG TAMIANG,98.038417,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,156.4,17.05,29.8,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,8.1
5.0545,2.13,12.18,0.004,Kabupaten Aceh Tamiang,3.0,0.004,0.009,5.2,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.167,KRUENG TAMIANG,97.912555,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,149.0,17.45,28.1,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,8.8
5.0545,2.43,14.31,0.004,Kabupaten Aceh Tamiang,3.0,0.004,0.009,5.7,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.263361,KRUENG TAMIANG,98.056889,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,159.2,15.15,27.9,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,8.0
5.0545,2.88,17.39,0.004,Kabupaten Aceh Tamiang,3.0,0.004,0.009,4.8,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.287528,KRUENG TAMIANG,98.056222,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,167.7,32.3,27.9,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,8.0
5.0545,2.73,15.19,0.004,Kabupaten Aceh Tamiang,3.0,0.004,0.009,4.9,0.13,115000.0,0.0009,0.0085,0.0001,37.81,4.278361,KRUENG TAMIANG,98.003083,0.11,0.53,0.02,0.53,0.04,0.009,Aceh,0.01,df_ika,20.0,163.3,21.05,29.0,290000.0,8.864999999999998,0.87415,14.0,2023.0,0.009,8.3
